player_id,first_name,last_name,display_name,position,squad_id,gameweek,opponent_id,opponent_name,fixture_difficulty,is_home,minutes_played,goals_scored,hat_tricks,assists,penalty_misses,own_goals,yellow_cards,red_cards,saves,penalty_saves,clean_sheet,goals_conceded,clearances,blocks,tackles,interceptions,key_passes,shots_on_target,points
3774,Joe,Murphy,J. Murphy,GK,44,27,3448,Salford,hard,H,90,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
10934,Glenn,Morris,G. Morris,GK,100,27,104,Notts C,hard,A,90,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
10934,Glenn,Morris,G. Morris,GK,100,27,2050,Bromley,hard,H,90,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
18124,Mark,Howard,M. Howard,GK,3448,27,44,Tranmere,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18867,Billy,Sharp,B. Sharp,FWD,290,27,587,Burton,easy,A,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
18867,Billy,Sharp,B. Sharp,FWD,290,27,55,Bradford,hard,A,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
18892,Ashley,Young,A. Young,DEF,40,27,107,Preston,medium,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19250,Shaun,Whalley,S. Whalley,FWD,888,27,87,Cheltenham,easy,H,90,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16
20460,Kyle,McFadzean,K. McFadzean,DEF,98,27,42,Walsall,medium,H,90,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,3
20950,Simon,Eastwood,S. Eastwood,GK,106,27,49,Sheffield Utd,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20950,Simon,Eastwood,S. Eastwood,GK,106,27,41,Birmingham,medium,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20966,Sam,Foley,S. Foley,MID,573,27,46,Swindon,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27436,David,McGoldrick,D. McGoldrick,FWD,37,27,75,Northampton,easy,H,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
27436,David,McGoldrick,D. McGoldrick,FWD,37,27,288,Stevenage,hard,H,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
36869,James,Wilson,J. Wilson,DEF,87,27,888,Accrington,medium,A,69,0,0,0,0,0,0,0,0,0,0,3,3,1,4,0,0,0,3
38038,Ben,Hamer,B. Hamer,GK,52,27,9,Coventry,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39325,Richard,O'Donnell,R. O'Donnell,GK,24,27,113,Bristol C,medium,A,90,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7
40161,Byron,Webster,B. Webster,DEF,2050,27,100,Gillingham,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
