player_id,first_name,last_name,display_name,position,squad_id,gameweek,opponent_id,opponent_name,fixture_difficulty,is_home,minutes_played,goals_scored,hat_tricks,assists,penalty_misses,own_goals,yellow_cards,red_cards,saves,penalty_saves,clean_sheet,goals_conceded,clearances,blocks,tackles,interceptions,key_passes,shots_on_target,points
3774,Joe,Murphy,J. Murphy,GK,44,16,87,Cheltenham,easy,H,90,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
10934,Glenn,Morris,G. Morris,GK,100,16,1525,Crawley,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18124,Mark,Howard,M. Howard,GK,3448,16,22,MK Dons,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18867,Billy,Sharp,B. Sharp,FWD,290,16,83,Lincoln,hard,A,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
19250,Shaun,Whalley,S. Whalley,FWD,888,16,96,Bristol R,medium,H,79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6
20460,Kyle,McFadzean,K. McFadzean,DEF,98,16,53,Grimsby,hard,A,90,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,9
20966,Sam,Foley,S. Foley,MID,573,16,2050,Bromley,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36869,James,Wilson,J. Wilson,DEF,87,16,44,Tranmere,easy,A,90,0,0,0,0,1,0,0,0,0,0,3,7,0,1,0,0,0,-1
40161,Byron,Webster,B. Webster,DEF,2050,16,573,Barrow,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40261,David,Worrall,D. Worrall,MID,573,16,2050,Bromley,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40399,Sam,Vokes,S. Vokes,FWD,100,16,1525,Crawley,easy,H,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40662,Joe,Garner,J. Garner,FWD,105,16,51,Crewe,hard,H,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47247,John,Fleck,J. Fleck,MID,98,16,53,Grimsby,hard,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48613,Ched,Evans,C. Evans,FWD,2048,16,46,Swindon,hard,H,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
48903,Joe,Day,J. Day,GK,87,16,44,Tranmere,easy,A,90,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1
48938,Josh,Magennis,J. Magennis,FWD,71,16,85,L Orient,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49226,James,Clarke,J. Clarke,DEF,437,16,74,Shrewsbury,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49284,Michael,Morrison,M. Morrison,DEF,101,16,34,Barnet,medium,H,90,0,0,0,0,0,1,0,0,0,1,0,7,1,4,0,0,0,9
49387,Mark,Oxley,M. Oxley,GK,671,16,104,Notts C,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49415,Kristian,Dennis,K. Dennis,FWD,44,16,87,Cheltenham,easy,H,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
49773,Albert,Adomah,A. Adomah,DEF,42,16,99,Colchester,medium,H,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49949,Garath,McCleary,G. McCleary,FWD,100,16,1525,Crawley,easy,H,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
50255,Nathan,Thompson,N. Thompson,DEF,22,16,3448,Salford,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50258,Warren,Burrell,W. Burrell,DEF,671,16,104,Notts C,hard,A,90,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,4
51922,Ben,Amos,B. Amos,GK,50,16,112,Wycombe,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55038,Kevin,McDonald,K. McDonald,MID,71,16,85,L Orient,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55271,Scot,Bennett,S. Bennett,DEF,87,16,44,Tranmere,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58347,Aden,Flint,A. Flint,DEF,42,16,99,Colchester,medium,H,90,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,3
59037,Will,Grigg,W. Grigg,FWD,98,16,53,Grimsby,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59127,Danny,Andrew,D. Andrew,DEF,71,16,85,L Orient,easy,A,90,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1
59129,Korey,Smith,K. Smith,MID,101,16,34,Barnet,medium,H,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
60057,James,Belshaw,J. Belshaw,GK,104,16,671,Harrogate,easy,H,90,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4
60295,Connor,Jennings,C. Jennings,FWD,44,16,87,Cheltenham,easy,H,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60751,Liam,Kelly,L. Kelly,MID,72,16,102,Luton,medium,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60753,Tom,Naylor,T. Naylor,MID,98,16,53,Grimsby,hard,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
60934,Funso,Ojo,F. Ojo,MID,50,16,112,Wycombe,hard,H,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71749,James,Norwood,J. Norwood,FWD,2048,16,46,Swindon,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73456,Niall,Canavan,N. Canavan,DEF,573,16,2050,Bromley,hard,A,90,0,0,0,0,0,1,0,0,0,0,2,8,0,1,0,0,0,2
74033,Sam,Clucas,S. Clucas,MID,74,16,437,Newport,easy,H,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7
74192,Marvin,Johnson,M. Johnson,MID,50,16,112,Wycombe,hard,H,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
74950,Jamie,Grimes,J. Grimes,DEF,98,16,53,Grimsby,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75993,Tom,Flanagan,T. Flanagan,DEF,99,16,42,Walsall,medium,A,90,0,0,0,0,0,1,0,0,0,1,0,10,1,0,0,0,0,8
76013,Paddy,Madden,P. Madden,FWD,888,16,96,Bristol R,medium,H,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
76360,Nathaniel,Méndez-Laing,N. Méndez-Laing,FWD,22,16,3448,Salford,hard,H,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
76429,Louis,Moult,L. Moult,FWD,51,16,105,Oldham,medium,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77023,John,Marquis,J. Marquis,FWD,74,16,437,Newport,easy,H,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
77454,Fabio,Borini,F. Borini,FWD,3448,16,22,MK Dons,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77818,James,Shea,J. Shea,GK,102,16,72,Rotherham,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78154,Jayden,Stockley,J. Stockley,FWD,50,16,112,Wycombe,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78296,Ryan,Tafazolli,R. Tafazolli,DEF,46,16,2048,Fleetwood,medium,A,90,1,0,0,0,0,1,0,0,0,0,1,12,2,0,0,0,0,12
78773,James,Collins,J. Collins,FWD,83,16,290,Doncaster,medium,H,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78911,Kadeem,Harris,K. Harris,FWD,3448,16,22,MK Dons,hard,A,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3
79733,Scott,Malone,S. Malone,DEF,1525,16,100,Gillingham,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79910,Scott,Hogan,S. Hogan,FWD,22,16,3448,Salford,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80181,Conor,McAleny,C. McAleny,FWD,671,16,104,Notts C,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80183,Luke,Garbutt,L. Garbutt,DEF,3448,16,22,MK Dons,hard,A,90,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2
80254,Carl,Jenkinson,C. Jenkinson,DEF,2050,16,573,Barrow,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80708,Jack,Muldoon,J. Muldoon,FWD,671,16,104,Notts C,hard,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
82248,Billy,Bodin,B. Bodin,FWD,46,16,2048,Fleetwood,medium,A,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82412,Jack,Grimmer,J. Grimmer,DEF,112,16,50,Port Vale,easy,A,90,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,8
82580,Ollie,Clarke,O. Clarke,MID,46,16,2048,Fleetwood,medium,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
83393,Oliver,Turton,O. Turton,DEF,3448,16,22,MK Dons,hard,A,89,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,3
83733,Harry,Pell,H. Pell,MID,87,16,44,Tranmere,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85017,Tendayi,Darikwa,T. Darikwa,DEF,83,16,290,Doncaster,medium,H,90,0,0,1,0,0,0,0,0,0,0,1,3,1,3,0,0,0,6
85885,Sam,Finley,S. Finley,MID,44,16,87,Cheltenham,easy,H,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86439,Rod,McDonald,R. McDonald,DEF,104,16,671,Harrogate,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87110,Conor,Thomas,C. Thomas,MID,51,16,105,Oldham,medium,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87428,Elias,Kachunga,E. Kachunga,FWD,101,16,34,Barnet,medium,H,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88042,Tom,Barkhuizen,T. Barkhuizen,FWD,573,16,2050,Bromley,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88497,Chuks,Aneke,C. Aneke,FWD,74,16,437,Newport,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88610,Kane,Hemmings,K. Hemmings,FWD,573,16,2050,Bromley,hard,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
88611,Kal,Naismith,K. Naismith,DEF,102,16,72,Rotherham,easy,H,90,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7
88821,Josh,McEachran,J. McEachran,MID,96,16,888,Accrington,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90263,James,Husband,J. Husband,DEF,92,16,587,Burton,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90495,Sonny,Bradley,S. Bradley,DEF,83,16,290,Doncaster,medium,H,90,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,4
90938,Ollie,Palmer,O. Palmer,FWD,46,16,2048,Fleetwood,medium,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5
91043,Connor,Ripley,C. Ripley,GK,46,16,2048,Fleetwood,medium,A,90,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
91046,Cauley,Woodrow,C. Woodrow,FWD,112,16,50,Port Vale,easy,A,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
91322,Jamille,Matt,J. Matt,FWD,42,16,99,Colchester,medium,H,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
92383,Nahki,Wells,N. Wells,FWD,102,16,72,Rotherham,easy,H,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92488,Jason,Lowe,J. Lowe,MID,44,16,87,Cheltenham,easy,H,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
92796,Gavan,Holohan,G. Holohan,MID,1525,16,100,Gillingham,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93302,Luke,Young,L. Young,MID,87,16,44,Tranmere,easy,A,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93469,Mickey,Demetriou,M. Demetriou,DEF,51,16,105,Oldham,medium,A,90,0,0,0,0,0,0,0,0,0,1,0,17,4,1,0,0,0,13
93480,Josh,Ruffels,J. Ruffels,DEF,74,16,437,Newport,easy,H,90,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6
95767,Josh,Scowen,J. Scowen,MID,112,16,50,Port Vale,easy,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96607,Ellis,Harrison,E. Harrison,FWD,96,16,888,Accrington,medium,A,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
96778,Adam,Reach,A. Reach,MID,83,16,290,Doncaster,medium,H,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
96784,Jordan,Clark,J. Clark,MID,102,16,72,Rotherham,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96988,Tom,Nichols,T. Nichols,FWD,46,16,2048,Fleetwood,medium,A,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97000,Britt,Assombalonga,B. Assombalonga,FWD,34,16,101,Cambridge,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97873,Adam,Jackson,A. Jackson,DEF,83,16,290,Doncaster,medium,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98760,Kemar,Roofe,K. Roofe,FWD,42,16,99,Colchester,medium,H,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101474,Ryan,Woods,R. Woods,MID,105,16,51,Crewe,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102496,Jack,Baldwin,J. Baldwin,DEF,99,16,42,Walsall,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103100,Jonny,Williams,J. Williams,MID,100,16,1525,Crawley,easy,H,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103102,Jake,Caprice,J. Caprice,DEF,105,16,51,Crewe,hard,H,90,0,0,0,0,0,1,0,0,0,1,0,4,0,2,0,0,0,8
103920,Mason,Bennett,M. Bennett,FWD,671,16,104,Notts C,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104047,Pelly Ruddock,Mpanzu,P. Mpanzu,MID,101,16,34,Barnet,medium,H,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5
106423,George,Evans,G. Evans,MID,587,16,92,Blackpool,easy,H,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106876,Oliver,Norburn,O. Norburn,MID,104,16,671,Harrogate,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108693,Charlie,Raglan,C. Raglan,DEF,573,16,2050,Bromley,hard,A,90,0,0,0,0,0,1,0,0,0,0,2,11,2,1,0,0,0,3
108796,Tom,Lockyer,T. Lockyer,DEF,96,16,888,Accrington,medium,A,90,0,0,0,0,0,0,0,0,0,0,3,9,1,1,0,0,0,3
108797,James,Bolton,J. Bolton,DEF,2048,16,46,Swindon,hard,H,90,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,0,5
109011,Joe,Rafferty,J. Rafferty,DEF,72,16,102,Luton,medium,A,90,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,8
109195,Jamie,Walker,J. Walker,FWD,53,16,98,Chesterfield,medium,H,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
109378,George,Thomson,G. Thomson,MID,671,16,104,Notts C,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109431,Elliot,Newby,E. Newby,MID,573,16,2050,Bromley,hard,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
