player_id,first_name,last_name,display_name,position,squad_id,gameweek,opponent_id,opponent_name,fixture_difficulty,is_home,minutes_played,goals_scored,hat_tricks,assists,penalty_misses,own_goals,yellow_cards,red_cards,saves,penalty_saves,clean_sheet,goals_conceded,clearances,blocks,tackles,interceptions,key_passes,shots_on_target,points
3774,Joe,Murphy,J. Murphy,GK,44,10,2050,Bromley,hard,A,90,0,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,2
10934,Glenn,Morris,G. Morris,GK,100,10,22,MK Dons,hard,A,90,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1
18124,Mark,Howard,M. Howard,GK,3448,10,53,Grimsby,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18867,Billy,Sharp,B. Sharp,FWD,290,10,587,Burton,easy,H,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18892,Ashley,Young,A. Young,DEF,40,10,45,Norwich,medium,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19250,Shaun,Whalley,S. Whalley,FWD,888,10,34,Barnet,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20460,Kyle,McFadzean,K. McFadzean,DEF,98,10,99,Colchester,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20950,Simon,Eastwood,S. Eastwood,GK,106,10,57,Watford,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20966,Sam,Foley,S. Foley,MID,573,10,74,Shrewsbury,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27436,David,McGoldrick,D. McGoldrick,FWD,37,10,112,Wycombe,hard,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36869,James,Wilson,J. Wilson,DEF,87,10,2048,Fleetwood,medium,H,90,0,0,0,0,0,0,0,0,0,1,0,7,2,2,0,0,0,10
38038,Ben,Hamer,B. Hamer,GK,52,10,113,Bristol C,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39325,Richard,O'Donnell,R. O'Donnell,GK,24,10,20,Southampton,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
