player_id,first_name,last_name,display_name,position,squad_id,gameweek,opponent_id,opponent_name,fixture_difficulty,is_home,minutes_played,goals_scored,hat_tricks,assists,penalty_misses,own_goals,yellow_cards,red_cards,saves,penalty_saves,clean_sheet,goals_conceded,clearances,blocks,tackles,interceptions,key_passes,shots_on_target,points
3774,Joe,Murphy,J. Murphy,GK,44,11,34,Barnet,medium,H,90,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
10934,Glenn,Morris,G. Morris,GK,100,11,87,Cheltenham,easy,H,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
18124,Mark,Howard,M. Howard,GK,3448,11,98,Chesterfield,hard,A,90,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
18867,Billy,Sharp,B. Sharp,FWD,290,11,85,L Orient,medium,A,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
19250,Shaun,Whalley,S. Whalley,FWD,888,11,437,Newport,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20460,Kyle,McFadzean,K. McFadzean,DEF,98,11,3448,Salford,hard,H,90,0,0,0,0,0,1,0,0,0,1,0,20,1,1,0,0,0,11
20966,Sam,Foley,S. Foley,MID,573,11,105,Oldham,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36869,James,Wilson,J. Wilson,DEF,87,11,100,Gillingham,medium,A,90,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,5
40161,Byron,Webster,B. Webster,DEF,2050,11,51,Crewe,medium,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40261,David,Worrall,D. Worrall,MID,573,11,105,Oldham,medium,A,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
40399,Sam,Vokes,S. Vokes,FWD,100,11,87,Cheltenham,easy,H,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6
40662,Joe,Garner,J. Garner,FWD,105,11,573,Barrow,easy,H,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40871,Ben,Hinchliffe,B. Hinchliffe,GK,48,11,92,Blackpool,easy,H,90,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7
42428,Sam,Hutchinson,S. Hutchinson,MID,2623,11,50,Port Vale,easy,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47247,John,Fleck,J. Fleck,MID,98,11,3448,Salford,hard,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48613,Ched,Evans,C. Evans,FWD,2048,11,671,Harrogate,easy,H,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
